State,Code,PlaceId
Alabama,AL,288de3df481163e8
Alaska,AK,07179f4fe0500a32
Arizona,AZ,a612c69b44b2e5da
Arkansas,AR,e8ad2641c1cb666c
California,CA,fbd6d2f5a4e4a15e
Colorado,CO,e21c8e4914eef2b3
Connecticut,CT,e86b380cfefcced5
District of Columbia,DC,6dd1efe2ee6ed145
Florida,FL,4ec01c9dbc693497
Georgia,GA,7142eb97ae21e839
Hawaii,HI,9dafd05b1158873b
Idaho,ID,4723507d8ce23a60
Illinois,IL,f54a2170ff4b15f7
Indiana,IN,d88a5def1d7e9609
Iowa,IA,3cd4c18d3615bbc9
Kansas,KS,27c45d804c777999
Kentucky,KY,6ffcf3b0b904bbcb
Louisiana,LA,1c73ebb264e145ee
Maine,ME,463f5d9615d7d1be
Maryland,MD,dea1eac2d7ef8878
Massachusetts,MA,cd450c94084cbf9b
Michigan,MI,67d92742f1ebf307
Minnesota,MN,9807c5c5f7a2c6ce
Mississippi,MS,43d2418301bf1a49
Missouri,MO,2526edd24c06e60c
Montana,MT,d2ddff69682ae534
Nebraska,NE,ac9b9070f6d17a9a
Nevada,NV,d374fb61a20fb74f
New Hampshire,NH,226b21641df42460
New Jersey,NJ,65b4760a2b411e11
New Mexico,NM,71d65c0e6d94efab
New York,NY,94965b2c45386f87
North Carolina,NC,3b98b02fba3f9753
North Dakota,ND,7d893ca2441b0c21
Ohio,OH,01673ec620278189
Oklahoma,OK,bd3d2074a33fbd06
Oregon,OR,df7fd3a3b9eff7ee
Pennsylvania,PA,dd9c503d6c35364b
Rhode Island,RI,6d50765616ee2e60
South Carolina,SC,6057f1e35bcc6c20
South Dakota,SD,d06e595eb3733f42
Tennessee,TN,7f7d58e5229c6b6c
Texas,TX,e0060cda70f5f341
Utah,UT,1879ace9e02ace61
Vermont,VT,9aa25269f04766ab
Virginia,VA,5635c19c2b5078d1
Washington,WA,bc3a38d3d5999b4b
West Virginia,WV,2d83c71ce16cd187
Wisconsin,WI,7dc5c6d3bfb10ccc
Wyoming,WY,77b8f2664985738a
