Id,Text,Created_At,State,Sentiment
1257352337330450434,"['nice', 'nice', 'im', 'gonna', 'work', 'home', 'little', '😂']",2020-05-04,AK,-1
1257093324533403648,"['better', 'toliet', 'paper', 'bee', 'lockdown']",2020-05-03,AK,1
1256425767229026307,"['quarantine', 'check', 'list', 'dyed', 'hair✅', 'mental', 'breakdown5', 'em✅', 'didnt', 'social', 'distance', 'point✅', 'shampooed', 'carpet✅', 'deep', 'clean', 'everything✅', 'worked', 'out✅', 'slept', 'much✅', 'start', 'work', 'home✅', 'repainted', 'roomcoming', 'soon']",2020-05-02,AK,1
1256385365201399808,"['quite', 'account', 'new', 'delhi', 'lockdown', 'ive', 'seen', 'traffic', 'hard', 'imagine', 'empty', 'streets', 'describes', 'sadly', 'portend', 'far', 'worse', 'many', 'people']",2020-05-02,AK,-1
1256328206115729409,"['shelter', 'place', 'redefined']",2020-05-01,AK,1
1256281289860108288,"['yall', 'telling', 'tear', 'gassed', 'black', 'lives', 'matter', 'protestors', 'control', 'youre', 'telling', 'let', 'group', 'men', 'walk', 'onto', 'government', 'building', 'ars', 'trynna', 'bully', 'way', 'outta', 'lockdown', 'cant', 'stand', 'told', 'yet', 'nobody', 'touches', 'em']",2020-05-01,AK,1
1256056606401261568,"['apparently', 'youre', 'fat', 'continue', 'shelter', 'place', 'ill', 'sheltering', 'forever', 'rate']",2020-05-01,AK,-1
1255995592783785984,"['working', 'home', 'thursday💕🍹✍🏼']",2020-04-30,AK,1
1255892337546326018,"['lockdown', 'wont', 'done', 'awhile', 'lot', 'people', 'around', 'country', 'still', 'acting', 'irresponsible', 'gathering', 'large', 'groups', 'shouldnt', 'strictions', 'lifted', 'enough', 'warrant', 'mass', 'public', 'gatherings']",2020-04-30,AK,-1
1255235842416824320,"['one', 'thing', 'ive', 'learned', 'lockdown', 'manscaped', 'lawnmower', '30', 'superior', 'product', 'trimming', 'balls']",2020-04-28,AK,-1
1254821221218365442,"['majesticmonday', 'alaskan', 'landscapes', 'always', 'make', 'happyespecially', 'youre', 'lockdown', 'somewhere', 'flat', 'florida', '🤷🏻\u200d♂️', '📸', '•', '•', '•', '•', '•', 'alaska', 'alaskalife', 'alaskan', 'alaskagrown', 'alaskaairlines…']",2020-04-27,AK,-1
1254641777606184962,"['ive', 'seeing', 'videos', 'beautiful', 'transformations', 'people', 'shelter', 'place', 'figure', 'id', 'share', 'transformation', 'last', '6', 'weeks', 'stayed', 'home', '4', 'children', '😊']",2020-04-27,AK,1
1257427710596579329,"['im', 'sorry', 'ive', 'stuck', 'home', 'pretty', 'much', '2', 'months', 'since', 'lockdown', 'begin', 'dont', 'motivation', 'anymore', 'learn', 'fix', 'hair', 'different', 'makeup', 'doesnt', 'help', 'im', 'getting', 'snapped', 'hair']",2020-05-04,AL,1
1257399443571331072,"['scene', 'far', 'home', 'peter', 'utilizes', 'peter', 'tingle', 'beck', 'making', 'feel', 'type', 'way']",2020-05-04,AL,1
1257398540814467072,"['watching', 'far', 'home', 'work', 'thing', 'getting', 'today']",2020-05-04,AL,-1
1257395483498160130,"['many', 'things', 'state', 'world', 'hope', 'leave', 'behind', 'online', 'gatherings', 'like', 'anime', 'lockdown', 'others', 'something', 'continue', 'carry', 'forward']",2020-05-04,AL,1
1257373144463048706,"['la', 'protesters', 'fed', 'gavin', 'newsom', 'california', 'lockdown', 'via', 'patriots', 'left', 'california', 'motivationmonday', 'reopenamerica']",2020-05-04,AL,-1
1257364979088572426,"['look', 'yall', 'think', 'someones', 'pet', 'ugly', 'even', 'really', 'worth', 'speaking', '😂🤣', 'ask', 'feeding', 'animal', 'animal', 'change', 'life', 'place', 'yall', 'lockdown', 'long', 'beginning', 'make', 'yall', 'worry', 'wrong', 'thing']",2020-05-04,AL,-1
1257359366942076929,['classic'],2020-05-04,AL,1
1257350236697251841,"['ordered', 'home', 'right', 'good', 'job']",2020-05-04,AL,-1
1257346755911462914,"['currently', 'driving', 'nashville', 'bham', 'work', 'today', 'tomorrow', 'apartment', 'doesnt', 'power', 'cell', 'service', 'moment', 'cant', 'work', 'home', 'star', 'employee', 'right']",2020-05-04,AL,-1
1257335929762729984,"['called', 'customer', 'service', 'lady', 'working', 'home', 'told', 'neighbor', 'drink', 'diluted', 'clorox']",2020-05-04,AL,1
1257334333595095043,"['bra', 'understand', 'patriots', 'literally', 'lockdown', 'defense', 'every', 'year']",2020-05-04,AL,-1
1257297271949086721,"['travel', '20', 'creating', 'better', 'future', 'travel', 'lockdown', 'via', 'thisissustainable']",2020-05-04,AL,1
1257281278266806272,"['anything', 'like', 'lockdown', 'needing', 'kick', 'day', 'surge', 'positivity', 'join', 'coach', 'palmer', 'every', 'weekday', 'morning', '1015', 'minutes…']",2020-05-04,AL,1
1257267954091163649,"['wear', 'work', 'today', '🤔', 'decisions', 'decisions', 'working', 'home', 'way', 'comfier', 'itll', 'good', 'dress', 'lil', 'guessand', 'maybe', 'even', 'wear', 'makeup', 'again☺️']",2020-05-04,AL,1
1257266591647047682,"['ugh', 'sleep', 'much', 'later', 'work', 'home', '\U0001f971😴']",2020-05-04,AL,1
1257130466697793546,"['crowds', 'gather', 'buy', 'new', 'air', 'jordans', 'atlanta', 'lockdown', 'lifted']",2020-05-04,AL,1
1257121180068306944,"['lawd', 'go', 'back', 'office', 'tuesday', '🤦🏾\u200d♀️', 'aint', 'ready', 'sweet', 'working', 'home', 'working', 'home', 'since', 'middle', 'march']",2020-05-04,AL,-1
1257090040947183616,"['global', 'pandemicseriously', 'lockdown', 'angels', 'social', 'distance']",2020-05-03,AL,1
1257035361575936002,"['ur', 'next', 'lockdown', 'mixtape', 'amazing', 'lose', 'plot', 'edit', 'song', '🙈']",2020-05-03,AL,1
1257030210123423744,"['enjoying', 'vanilla', 'iced', 'coffee', 'one', 'favorite', 'places', 'downtown', 'sure', 'doesnt', 'feel', 'like', 'shelter', 'place']",2020-05-03,AL,1
1256940879618531328,"['watching', 'waves', 'roll', 'amp', 'porpoises', 'jump', 'happy', 'place', 'headed', 'home', 'later', 'today', 'see', 'love', 'back', 'soon', '🦈🦞🐳🐙🐠', 'work', 'home', 'dauphin…']",2020-05-03,AL,1
1256925716064731137,"['internet', 'home', 'slowed', 'massively', 'last', 'couple', 'months', 'since', 'shelter', 'place', 'orders', 'went', 'effect', 'slowest', 'ive', 'seen', 'drop', 'yet']",2020-05-03,AL,1
1256902856864645126,"['bubble', 'headed', 'bleach', 'blonde', 'amp', 'guidelines', 'supporting', 'oppressive', 'mayors', 'amp', 'governors', 'sits', 'little', 'palace', 'new', 'york', 'making', '7figure', 'income', 'lockdown', 'covid19']",2020-05-03,AL,-1
1256896331198672896,"['evil', 'tyrrany', 'always', 'forced', 'people', 'demonrats']",2020-05-03,AL,-1
1256745677981392900,"['guy', 'figured', 'spend', 'lockdown', 'camping', 'disney', 'world']",2020-05-03,AL,-1
1256739597301800961,"['nah', 'momma', 'still', 'got', 'covid', 'lockdown', 'pull', 'fatherson', 'talks', 'front', 'yard']",2020-05-03,AL,1
1256717028171427841,"['thats', 'two', 'months', 'lockdown', 'absurd']",2020-05-02,AL,-1
1256708613290237953,"['feel', 'come', 'lockdown', 'summer', 'n', 'try', 'n', 'lock', 'states', 'late', 'fall', 'happen', 'wont', 'another', 'lockdown', 'protestors', 'ignorant', 'people', 'panick', 'r', 'going', 'go', 'crazy', 'whole', 'country', 'gone', 'shambles']",2020-05-02,AL,-1
1256697113972543494,"['thousands', 'flamingos', 'create', 'sea', 'pink', 'lockdown', 'mumbai', '\U0001f9a9']",2020-05-02,AL,1
1256689680562769922,"['2may20', '1133am', '77f25c', 'sunny', 'walking', 'dogs', 'home', 'early', 'morning', 'run', 'city', 'chelsea', 'alabama']",2020-05-02,AL,1
1256634835331887104,"['truthfully', 'takes', 'time', 'theyve', 'enough', 'make', 'types', 'statements', 'public', '🤦🏾\u200d♀️', 'personally', 'would', 'embarrassed', 'took', 'lockdown', 'husband', 'say', 'lex', 'aint', 'even', 'know', 'like', 'whole', 'time', 'tell', 'everyone', 'else', '😂']",2020-05-02,AL,-1
1256619333683421185,"['007', 'fans', 'wait', 'lockdown', 'things']",2020-05-02,AL,1
1256603294409076736,"['every', 'year', 'minis', 'dragon', 'get', 'pic', 'since', 'canceled', 'due', 'covid19', 'everyone', 'sent', 'shot', 'home', 'photoshopped', 'one', 'covid', 'wont', 'stop', 'annual', 'converse', 'circle']",2020-05-02,AL,1
1256561621234782208,"['love', 'hi', 'welcome', 'back', 'work', 'home', 'send', 'moms', 'working', 'home', 'donuts', 'coffee', 'too💯🎈🎉', 'momlife', 'saturdaythoughts', 'nyc']",2020-05-02,AL,1
1256416634421510145,"['quarantined', 'away', 'home', 'boyfriend', '7', 'weeks', 'finally', 'found', 'next', 'week', 'ill', 'likely', 'get', 'go', 'home', '🤩']",2020-05-02,AL,-1
1256410091194105856,"['armed', 'protesters', 'demonstrate', 'michigan', 'governors', 'lockdown']",2020-05-02,AL,-1
1256391495080443905,"['trying', 'figure', 'way', 'work', 'home', 'havent', 'able', 'find', 'right', 'fit', 'well', 'join', 'us', 'live', 'virtual', 'business', 'overview', 'discuss', 'get', 'paid', 'virtual', 'insurance', 'sales']",2020-05-02,AL,-1
